"BehaviorSpace results (NetLogo 6.2.2)"
"Segregation.nlogo"
"experiment"
"04/24/2025 22:31:15:177 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","percent-unhappy"
"33","50","45","13","0.07668711656441718"
"35","50","45","10","0.29985007496251875"
"37","50","45","10","0.38819875776397517"
"39","50","45","9","0.38138825324180015"
"34","50","45","13","0.46439628482972134"
"40","50","45","3","11.228334589299171"
"38","50","45","11","0.07698229407236336"
"41","50","45","0","39.38223938223938"
"33","50","45","14","0.07668711656441718"
"35","50","45","11","0.22488755622188905"
"37","50","45","11","0.2329192546583851"
"34","50","45","14","0.38699690402476783"
"38","50","45","12","0.07698229407236336"
"39","50","45","10","0.38138825324180015"
"33","50","45","15","0.07668711656441718"
"40","50","45","4","7.083647324792766"
"35","50","45","12","0.22488755622188905"
"37","50","45","12","0.15527950310559005"
"41","50","45","1","22.00772200772201"
"34","50","45","15","0.23219814241486067"
"38","50","45","13","0"
"33","50","45","16","0.07668711656441718"
"39","50","45","11","0.15255530129672007"
"37","50","45","13","0.07763975155279502"
"35","50","45","13","0.07496251874062969"
"34","50","45","16","0.23219814241486067"
"40","50","45","5","4.295403165033911"
"41","50","45","2","15.057915057915059"
"33","50","45","17","0.07668711656441718"
"37","50","45","14","0"
"39","50","45","12","0.15255530129672007"
"34","50","45","17","0.23219814241486067"
"35","50","45","14","0.14992503748125938"
"33","50","45","18","0"
"40","50","45","6","2.260738507912585"
"41","50","45","3","9.111969111969112"
"39","50","45","13","0.07627765064836003"
"34","50","45","18","0.15479876160990713"
"42","50","45","0","40.17501988862371"
"40","50","45","7","1.8839487565938209"
"35","50","45","15","0.07496251874062969"
"39","50","45","14","0.07627765064836003"
"43","50","45","0","39.15343915343915"
"41","50","45","4","5.559845559845559"
"42","50","45","1","22.75258552108194"
"34","50","45","19","0"
"44","50","45","0","43.56877323420074"
"40","50","45","8","0.8289374529012812"
"35","50","45","16","0"
"39","50","45","15","0.07627765064836003"
"41","50","45","5","3.474903474903475"
"42","50","45","2","13.28560063643596"
"39","50","45","16","0"
"43","50","45","1","24.18745275888133"
"40","50","45","9","0.37678975131876413"
"41","50","45","6","1.9305019305019304"
"45","50","45","0","41.027550260610575"
"46","50","45","0","40.1883830455259"
"44","50","45","1","25.650557620817843"
"41","50","45","7","1.1583011583011582"
"42","50","45","3","10.023866348448687"
"43","50","45","2","14.588057445200302"
"40","50","45","10","0.30143180105501133"
"47","50","45","0","42.03125"
"45","50","45","1","21.518987341772153"
